
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Dexmedetomidine Hydrochloride Injection","Eugia US LLC","888-238-7880","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 55150-297-10)","Reverified","08/05/2024","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 ug/1 mL (NDC 70121-1388-8)","Reverified","07/09/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 ug/1 mL (NDC 70121-1389-7)","Reverified","07/09/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","866-733-3952","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 43598-976-58)","Revised","07/15/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","866-733-3952","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 43598-975-58)","Revised","07/15/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Accord Healthcare Inc.","866-941-7875, option 2","Injection, 100 ug/1 mL (NDC 16729-239-93)","Revised","07/23/2024","Unavailable","Resupply TBD","","Requirements related to complying with good manufacturing practices","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Accord Healthcare Inc.","866-941-7875, option 2","Injection, 100 ug/1 mL (NDC 16729-432-93)","Revised","07/23/2024","Unavailable","Discontinuation of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Eugia US LLC","888-238-7880","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 55150-209-02)","Reverified","08/05/2024","Unavailable","On backorder. Recovery: TBD. Check wholesalers for inventory","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 0338-9555-24)","Reverified","07/17/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 0338-9557-12)","Reverified","07/17/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 43066-555-24)","Reverified","07/17/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 43066-557-12)","Reverified","07/17/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 ug/1 mL (NDC 63323-671-20)","Revised","08/02/2024","Unavailable","Next release not available at this time.","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 ug/1 mL (NDC 63323-671-50)","Revised","08/02/2024","Unavailable","Not available at this time.","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 ug/1 mL (NDC 63323-671-00)","Revised","08/02/2024","Unavailable","Not available at this time.","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 100 ug/1 mL (NDC 63323-421-02)","Revised","08/02/2024","Unavailable","Backordered. Next release not available at this time; Check wholesalers for inventory","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Injection, 100 ug/1 mL (NDC 44567-600-04)","Reverified","05/18/2024","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Injection, 100 ug/1 mL (NDC 44567-601-04)","Reverified","05/18/2024","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Injection, 4 ug/1 mL (NDC 44567-602-24)","Reverified","05/18/2024","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","HQ Specialty Pharma","WG Critical Care 888-493-0861","Injection, 4 ug/1 mL (NDC 44567-603-24)","Reverified","05/18/2024","Available","Marketed by WG Critical Care","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Mylan Institutional, a Viatris Company","800-796-9526","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 67457-251-02)","Reverified","07/18/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Injection, 100 ug/1 mL (NDC 42023-146-25)","Revised","07/15/2024","Unavailable","Recovery: TBD","","Other","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 80 mcg/20 mL (4 mcg/mL) (NDC 0409-1660-20)","Revised","07/30/2024","Limited Availability","Next Delivery: August 2024; Estimated Recovery: June 2025","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-1660-50)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL)  (NDC 0409-1596-10)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/2 mL (100 mcg/mL) (NDC 0409-1638-02)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Slayback Pharma","844-566-2505","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 71225-126-05)","Revised","01/15/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Slayback Pharma","844-566-2505","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 71225-126-06)","Revised","01/15/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 0143-9532-25)","Reverified","07/25/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Meitheal Pharmaceuticals, Inc.","844-824-8426","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 71288-505-03)","Revised","07/03/2024","Available","Estimated recovery end of August 2024","","Demand increase for the drug","Anesthesia","Current","","","04/10/2021","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","877-835-5472","Injection, 4 mcg/mL, 50 mL (NDC 70121-1388-1)","Revised","07/09/2024","Available","Sufficient Inventory available (16 to 20 wk) as per current demand","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 mcg/mL, 100 mL (NDC 70121-1389-1)","Revised","07/09/2024","Available","Sufficient Inventory available (20 to 25 wk) as per current demand","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Injection, 80 mcg/20 mL  (NDC 0781-3493-95)","Revised","07/11/2024","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Injection, 200 mcg/50 mL  (NDC 0781-3494-95)","Revised","07/11/2024","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Jiangsu Hengrui Pharmaceuticals Co., Ltd.","See Related Information section below for customer service information","Injection, 400 mcg/100 mL (NDC 0781-3495-95)","Revised","07/11/2024","Available","Marketed by Sandoz Inc.; Customer service: 800-525-8747","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 80 mcg/20 mL (4 mcg/mL) (NDC 0409-3301-10)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-4596-20)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-0155-02)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 400 mcg/100 mL (4 mcg/mL) (NDC 0409-1174-10)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 1000 mcg/250 mL Single Dose Glass Bottle (NDC 0409-1434-01)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 1000 mcg/250 mL Glass Bottle NovaPlus (NDC 0409-2815-01)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Pfizer Inc.","844-646-4398","Precedex, Injection, 200 mcg/50 mL (4 mcg/mL) (NDC 0409-1454-20)","Revised","07/30/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","855-273-0154","Injection, 200 ug/2 mL (NDC 66794-230-42)","Revised","07/15/2024","Available","Marketed by Piramal Critical Care Inc.: 800-414-1901","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dextrose Monohydrate Injection","Amphastar Pharmaceuticals, Inc.","800-423-4136","Dextrose 50%, Injection, 25 g/50 mL (NDC 76329-3302-1)","Reverified","07/19/2024","Limited Availability","On allocation","","Demand increase for the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric","Current","","","01/13/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose, Injection, 25 g/50 mL (50%, 0.5 g/mL) Syringes (NDC 0409-7517-16)","Revised","07/15/2024","Unavailable","Next Delivery: July 2024; Estimated Recovery: September 2024","","Delay in shipping of the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric","Current","","","01/13/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose, Injection, 25 g/50 mL (50%, 0.5 g/mL) Syringes (NDC 0409-4902-34)","Revised","07/15/2024","Unavailable","Next Delivery: October 2024; Estimated Recovery: March 2025","","Delay in shipping of the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric","Current","","","01/13/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose, Injection, 25 g/50 mL (50%, 0.5 g/mL) (NDC 0409-6648-02)","Revised","07/15/2024","Unavailable","Next Delivery: July 2024; Estimated Recovery: December 2024","","Delay in shipping of the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric","Current","","","01/13/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose, Injection, 2.5 g/10mL (25%, 250 mg/ mL) Syringes (NDC 0409-1775-10)","Revised","07/15/2024","Limited Availability","Limited Supply Available. Next Delivery: July 2024; Estimated Recovery: September 2024","","Delay in shipping of the drug","Endocrinology/Metabolism; Gastroenterology; Pediatric","Current","","","02/07/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 2.5 g/50mL (5%, 50mg/mL) (NDC 0409-7100-66)","Revised","07/15/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 5 g/100mL (5%) Plastic (NDC 0409-7100-67)","Revised","07/15/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Dextrose 5% In Plastic Container, Injection, 12.5 g/250mL (5%) (NDC 0409-7100-02)","Revised","07/15/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 63323-624-61)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 63323-624-74)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 63323-624-75)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 63323-624-10)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 63323-624-50)","Reverified","08/02/2024","Available","Check wholesaler inventory","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-02)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7922-02","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-61)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7922-61","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-13)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7923-13","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-20)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7923-20","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-23)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7923-23","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-36)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7923-36","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7923-37)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7923-37","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-10)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-41)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-11)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-31)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-48)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-18)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-38)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0551-11)","Reverified","06/21/2024","Available","On allocation","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 2.5 g/50 mL (NDC 0338-9143-30)","Reverified","06/21/2024","Available","On allocation","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-9147-30)","Reverified","06/21/2024","Available","On allocation","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0551-18)","Reverified","06/21/2024","Available","On allocation","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0070-10)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-02)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0062-30)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 50 g/1000 mL (NDC 0338-0017-03)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","Baxter Healthcare","888-229-0001","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0338-0066-20)","Reverified","07/17/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 5 g/100 mL (NDC 0264-7510-10)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 5 g/100 mL (NDC 0264-7510-00)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 5 g/100 mL (NDC 0264-7510-20)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 0264-1510-32)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 0264-1510-31)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-00)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-10)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","B. Braun Medical Inc.","800-227-2862","Injection, 10 g/100 mL (NDC 0264-7520-20)","Reverified","07/16/2024","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-03)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7922-03","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-55)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7922-55","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
"Dextrose Monohydrate Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Dextrose 5% In Plastic Container, Injection, 5 g/100 mL (NDC 0990-7922-09)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7922-09","","","Endocrinology/Metabolism; Gastroenterology; Other; Pediatric","Current","","","02/14/2022","","","","","","",""
